,DemMargin,RepMargin,IndMargin,DemPctOfCoTot,RepPctOfCoTot,IndPctOfCoTot
Adams,,,7.30%,33.80%,23.30%,41.10%
Alamosa,2.20%,,,35.80%,28.80%,33.70%
Arapahoe,,,6.50%,33.00%,25.90%,39.50%
Archuleta,,9.10%,,21.30%,43.10%,34.00%
Baca,,21.30%,,17.80%,51.00%,29.80%
Bent,,4.70%,,27.70%,37.60%,32.80%
Boulder,3.60%,,,43.60%,14.70%,40.00%
Broomfield,,,12.60%,30.10%,25.50%,42.70%
Chaffee,,,7.50%,26.20%,32.50%,40.00%
Cheyenne,,42.50%,,9.80%,66.10%,23.60%
Clear Creek,,,12.30%,29.40%,26.50%,41.70%
Conejos,10.40%,,,45.60%,35.20%,18.40%
Costilla,38.00%,,,61.40%,13.40%,23.40%
Crowley,,21.90%,,22.50%,48.80%,26.90%
Custer,,29.10%,,13.30%,57.10%,28.00%
Delta,,9.30%,,17.00%,45.30%,36.00%
Denver,9.10%,,,47.40%,12.50%,38.30%
Dolores,,15.30%,,17.60%,48.20%,32.90%
Douglas,,3.50%,,19.70%,41.10%,37.70%
Eagle,,,16.80%,29.20%,23.00%,46.00%
El Paso,,,0.01%,20.80%,38.50%,38.50%
Elbert,,18.30%,,11.30%,52.70%,34.50%
Fremont,,7.10%,,17.70%,43.80%,36.70%
Garfield,,,14.40%,24.50%,29.70%,44.10%
Gilpin,,,16.20%,28.50%,24.70%,44.70%
Grand,,,2.60%,21.10%,37.20%,39.90%
Gunnison,,,10.70%,31.80%,23.20%,42.50%
Hinsdale,,27.90%,,12.80%,56.90%,29.00%
Huerfano,6.60%,,,39.00%,26.40%,32.40%
Jackson,,40.90%,,9.30%,65.10%,24.10%
Jefferson,,,11.10%,29.90%,27.40%,41.00%
Kiowa,,33.70%,,10.80%,61.00%,27.20%
Kit Carson,,27.10%,,11.50%,57.10%,30.00%
La Plata,,,7.90%,30.90%,28.30%,38.80%
Lake,,,0.40%,39.40%,18.20%,39.90%
Larimer,,,11.80%,27.50%,29.40%,41.20%
Las Animas,9.40%,,,41.00%,26.00%,31.60%
Lincoln,,32.80%,,13.00%,59.30%,26.50%
Logan,,20.10%,,14.50%,52.10%,32.00%
Mesa,,3.00%,,17.80%,41.70%,38.70%
Mineral,,2.80%,,34.90%,37.80%,27.00%
Moffat,,15.40%,,9.00%,52.60%,37.20%
Montezuma,,9.30%,,20.90%,43.30%,34.10%
Montrose,,10.70%,,17.00%,46.10%,35.50%
Morgan,,5.30%,,18.30%,42.80%,37.50%
Otero,,2.00%,,29.30%,35.80%,33.80%
Ouray,,,8.40%,28.80%,30.40%,38.80%
Park,,,1.00%,18.70%,39.00%,40.00%
Phillips,,29.40%,,13.80%,57.40%,28.10%
Pitkin,,,8.70%,37.30%,15.00%,46.00%
Prowers,,12.30%,,20.60%,45.40%,33.10%
Pueblo,6.00%,,,39.60%,25.30%,33.60%
Rio Blanco,,40.70%,,6.90%,66.20%,25.50%
Rio Grande,,8.70%,,29.40%,39.00%,30.30%
Routt,,,13.80%,29.40%,25.40%,43.20%
Saguache,3.90%,,,40.30%,21.20%,36.40%
San Juan,,,21.80%,27.60%,19.30%,49.40%
San Miguel,6.40%,,,44.30%,15.40%,37.90%
Sedgwick,,29.20%,,16.30%,56.00%,26.80%
Summit,,,17.30%,30.50%,19.90%,47.80%
Teller,,11.90%,,15.50%,47.20%,35.30%
Washington ,,50.90%,,8.30%,70.70%,19.80%
Weld,,,2.50%,21.70%,37.00%,39.50%
Yuma,,22.20%,,12.20%,54.40%,32.20%
,,,,30.20%,28.90%,39.10%
